q2_rad,q3_rad,manipulability,det_j
-2.2000,-2.2000,0.07192127,-0.02275446
-2.2000,-1.4000,0.17041940,-0.04484889
-2.2000,-0.6000,0.12233090,-0.02547636
-2.2000,0.2000,0.04510399,0.00540516
-2.2000,1.0000,0.02932272,0.00222045
-2.2000,1.8000,0.05457491,-0.01332425
-1.4000,-2.2000,0.07176823,-0.01987878
-1.4000,-1.4000,0.10687050,-0.02384366
-1.4000,-0.6000,0.03298078,-0.00354770
-1.4000,0.2000,0.01912996,-0.00363266
-1.4000,1.0000,0.11164637,-0.02911978
-1.4000,1.8000,0.14008540,-0.03192217
-0.6000,-2.2000,0.03408790,-0.00494491
-0.6000,-1.4000,0.03353646,0.01162481
-0.6000,-0.6000,0.08218000,0.02053295
-0.6000,0.2000,0.07109652,-0.01046696
-0.6000,1.0000,0.17820108,-0.04279634
-0.6000,1.8000,0.14500581,-0.03115652
0.2000,-2.2000,0.03764189,0.01298849
0.2000,-1.4000,0.13909520,0.04004183
0.2000,-0.6000,0.14247733,0.03215858
0.2000,0.2000,0.08030760,-0.01095214
0.2000,1.0000,0.13792743,-0.03051322
0.2000,1.8000,0.06556879,-0.01149175
1.0000,-2.2000,0.07342151,0.02304323
1.0000,-1.4000,0.16905588,0.04417001
1.0000,-0.6000,0.11765578,0.02427726
1.0000,0.2000,0.04097692,-0.00479390
1.0000,1.0000,0.02183526,0.00027882
1.0000,1.8000,0.06223637,0.01514376
1.8000,-2.2000,0.07002660,0.01912027
1.8000,-1.4000,0.09908555,0.02150526
1.8000,-0.6000,0.02595615,0.00166967
1.8000,0.2000,0.02372947,0.00427226
1.8000,1.0000,0.11954734,0.03090173
1.8000,1.8000,0.14361635,0.03259327
