time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
0.000000,0.000000,-1.256637,1.653470,-1.963495,1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.050000,0.234956,-0.680205,0.845243,-0.856194,0.900000
0.025000,0.000325,-1.256564,1.653259,-1.963233,1.570531,0.000279,0.025922,0.005800,-0.016793,0.020867,-0.021137,0.022219,1.023750,0.229082,-0.663200,0.824112,-0.834790,0.877500
0.050000,0.001291,-1.256348,1.652634,-1.962456,1.569744,0.001106,0.051187,0.011454,-0.033160,0.041206,-0.041739,0.043875,0.997500,0.223208,-0.646194,0.802981,-0.813385,0.855000
0.075000,0.002879,-1.255993,1.651605,-1.961178,1.568448,0.002468,0.075797,0.016961,-0.049102,0.061016,-0.061807,0.064969,0.971250,0.217334,-0.629189,0.781850,-0.791980,0.832500
0.100000,0.005075,-1.255501,1.650182,-1.959410,1.566658,0.004350,0.099750,0.022321,-0.064619,0.080298,-0.081338,0.085500,0.945000,0.211460,-0.612184,0.760719,-0.770575,0.810000
0.125000,0.007861,-1.254878,1.648377,-1.957167,1.564386,0.006738,0.123047,0.027534,-0.079711,0.099052,-0.100335,0.105469,0.918750,0.205586,-0.595179,0.739588,-0.749170,0.787500
0.150000,0.011222,-1.254126,1.646200,-1.954462,1.561646,0.009619,0.145687,0.032600,-0.094378,0.117277,-0.118797,0.124875,0.892500,0.199712,-0.578174,0.718457,-0.727765,0.765000
0.175000,0.015140,-1.253249,1.643662,-1.951308,1.558451,0.012977,0.167672,0.037519,-0.108620,0.134975,-0.136724,0.143719,0.866250,0.193838,-0.561169,0.697326,-0.706360,0.742500
0.200000,0.019600,-1.252251,1.640773,-1.947718,1.554814,0.016800,0.189000,0.042292,-0.122437,0.152144,-0.154115,0.162000,0.840000,0.187964,-0.544164,0.676194,-0.684956,0.720000
0.225000,0.024585,-1.251136,1.637543,-1.943705,1.550749,0.021073,0.209672,0.046918,-0.135828,0.168784,-0.170971,0.179719,0.813750,0.182091,-0.527159,0.655063,-0.663551,0.697500
0.250000,0.030078,-1.249907,1.633985,-1.939283,1.546270,0.025781,0.229687,0.051397,-0.148795,0.184897,-0.187293,0.196875,0.787500,0.176217,-0.510154,0.633932,-0.642146,0.675000
0.275000,0.036064,-1.248567,1.630107,-1.934464,1.541389,0.030912,0.249047,0.055729,-0.161336,0.200481,-0.203079,0.213469,0.761250,0.170343,-0.493148,0.612801,-0.620741,0.652500
0.300000,0.042525,-1.247121,1.625922,-1.929263,1.536120,0.036450,0.267750,0.059914,-0.173452,0.215537,-0.218330,0.229500,0.735000,0.164469,-0.476143,0.591670,-0.599336,0.630000
0.325000,0.049446,-1.245573,1.621438,-1.923692,1.530477,0.042382,0.285797,0.063952,-0.185143,0.230065,-0.233045,0.244969,0.708750,0.158595,-0.459138,0.570539,-0.577931,0.607500
0.350000,0.056809,-1.243925,1.616668,-1.917764,1.524473,0.048694,0.303187,0.067843,-0.196409,0.244064,-0.247226,0.259875,0.682500,0.152721,-0.442133,0.549408,-0.556526,0.585000
0.375000,0.064600,-1.242182,1.611621,-1.911493,1.518120,0.055371,0.319922,0.071588,-0.207250,0.257535,-0.260872,0.274219,0.656250,0.146847,-0.425128,0.528277,-0.535122,0.562500
0.400000,0.072800,-1.240347,1.606309,-1.904892,1.511434,0.062400,0.336000,0.075186,-0.217666,0.270478,-0.273982,0.288000,0.630000,0.140973,-0.408123,0.507146,-0.513717,0.540000
0.425000,0.081394,-1.238424,1.600742,-1.897974,1.504426,0.069766,0.351422,0.078637,-0.227656,0.282892,-0.286558,0.301219,0.603750,0.135099,-0.391118,0.486015,-0.492312,0.517500
0.450000,0.090366,-1.236416,1.594930,-1.890752,1.497110,0.077456,0.366187,0.081941,-0.237221,0.294779,-0.298598,0.313875,0.577500,0.129226,-0.374113,0.464884,-0.470907,0.495000
0.475000,0.099698,-1.234328,1.588884,-1.883239,1.489500,0.085455,0.380297,0.085098,-0.246362,0.306136,-0.310103,0.325969,0.551250,0.123352,-0.357107,0.443753,-0.449502,0.472500
0.500000,0.109375,-1.232163,1.582615,-1.875449,1.481609,0.093750,0.393750,0.088108,-0.255077,0.316966,-0.321073,0.337500,0.525000,0.117478,-0.340102,0.422622,-0.428097,0.450000
0.525000,0.119380,-1.229924,1.576134,-1.867395,1.473451,0.102326,0.406547,0.090972,-0.263367,0.327268,-0.331508,0.348469,0.498750,0.111604,-0.323097,0.401490,-0.406692,0.427500
0.550000,0.129697,-1.227615,1.569450,-1.859090,1.465038,0.111169,0.418687,0.093689,-0.271232,0.337041,-0.341408,0.358875,0.472500,0.105730,-0.306092,0.380359,-0.385288,0.405000
0.575000,0.140309,-1.225241,1.562576,-1.850548,1.456385,0.120265,0.430172,0.096258,-0.278671,0.346286,-0.350772,0.368719,0.446250,0.099856,-0.289087,0.359228,-0.363883,0.382500
0.600000,0.151200,-1.222803,1.555520,-1.841780,1.447504,0.129600,0.441000,0.098681,-0.285686,0.355002,-0.359602,0.378000,0.420000,0.093982,-0.272082,0.338097,-0.342478,0.360000
0.625000,0.162354,-1.220308,1.548295,-1.832802,1.438409,0.139160,0.451172,0.100957,-0.292275,0.363190,-0.367896,0.386719,0.393750,0.088108,-0.255077,0.316966,-0.321073,0.337500
0.650000,0.173753,-1.217757,1.540910,-1.823625,1.429114,0.148931,0.460687,0.103087,-0.298440,0.370850,-0.375655,0.394875,0.367500,0.082234,-0.238072,0.295835,-0.299668,0.315000
0.675000,0.185382,-1.215155,1.533376,-1.814264,1.419631,0.158899,0.469547,0.105069,-0.304179,0.377982,-0.382879,0.402469,0.341250,0.076361,-0.221067,0.274704,-0.278263,0.292500
0.700000,0.197225,-1.212505,1.525705,-1.804731,1.409974,0.169050,0.477750,0.106905,-0.309493,0.384586,-0.389568,0.409500,0.315000,0.070487,-0.204061,0.253573,-0.256858,0.270000
0.725000,0.209264,-1.209811,1.517905,-1.795039,1.400157,0.179370,0.485297,0.108594,-0.314382,0.390661,-0.395722,0.415969,0.288750,0.064613,-0.187056,0.232442,-0.235453,0.247500
0.750000,0.221484,-1.207076,1.509989,-1.785202,1.390193,0.189844,0.492187,0.110135,-0.318846,0.396208,-0.401341,0.421875,0.262500,0.058739,-0.170051,0.211311,-0.214049,0.225000
0.775000,0.233868,-1.204305,1.501967,-1.775233,1.380095,0.200459,0.498422,0.111530,-0.322885,0.401226,-0.406425,0.427219,0.236250,0.052865,-0.153046,0.190180,-0.192644,0.202500
0.800000,0.246400,-1.201501,1.493848,-1.765145,1.369876,0.211200,0.504000,0.112779,-0.326498,0.405717,-0.410973,0.432000,0.210000,0.046991,-0.136041,0.169049,-0.171239,0.180000
0.825000,0.259063,-1.198667,1.485645,-1.754951,1.359550,0.222054,0.508922,0.113880,-0.329687,0.409679,-0.414987,0.436219,0.183750,0.041117,-0.119036,0.147918,-0.149834,0.157500
0.850000,0.271841,-1.195808,1.477368,-1.744665,1.349131,0.233006,0.513187,0.114835,-0.332450,0.413113,-0.418465,0.439875,0.157500,0.035243,-0.102031,0.126786,-0.128429,0.135000
0.875000,0.284717,-1.192927,1.469026,-1.734300,1.338632,0.244043,0.516797,0.115642,-0.334788,0.416018,-0.421408,0.442969,0.131250,0.029369,-0.085026,0.105655,-0.107024,0.112500
0.900000,0.297675,-1.190027,1.460632,-1.723869,1.328065,0.255150,0.519750,0.116303,-0.336701,0.418395,-0.423816,0.445500,0.105000,0.023496,-0.068020,0.084524,-0.085619,0.090000
0.925000,0.310699,-1.187113,1.452195,-1.713385,1.317445,0.266313,0.522047,0.116817,-0.338189,0.420244,-0.425689,0.447469,0.078750,0.017622,-0.051015,0.063393,-0.064215,0.067500
0.950000,0.323772,-1.184188,1.443726,-1.702861,1.306785,0.277519,0.523687,0.117184,-0.339252,0.421565,-0.427027,0.448875,0.052500,0.011748,-0.034010,0.042262,-0.042810,0.045000
0.975000,0.336878,-1.181255,1.435236,-1.692311,1.296098,0.288752,0.524672,0.117404,-0.339890,0.422357,-0.427830,0.449719,0.026250,0.005874,-0.017005,0.021131,-0.021405,0.022500
1.000000,0.350000,-1.178319,1.426735,-1.681748,1.285398,0.300000,0.525000,0.117478,-0.340102,0.422622,-0.428097,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,0.363122,-1.175382,1.418234,-1.671184,1.274698,0.311248,0.524672,0.117404,-0.339890,0.422357,-0.427830,0.449719,-0.026250,-0.005874,0.017005,-0.021131,0.021405,-0.022500
1.050000,0.376228,-1.172450,1.409744,-1.660634,1.264011,0.322481,0.523687,0.117184,-0.339252,0.421565,-0.427027,0.448875,-0.052500,-0.011748,0.034010,-0.042262,0.042810,-0.045000
1.075000,0.389301,-1.169524,1.401275,-1.650111,1.253351,0.333687,0.522047,0.116817,-0.338189,0.420244,-0.425689,0.447469,-0.078750,-0.017622,0.051015,-0.063393,0.064215,-0.067500
1.100000,0.402325,-1.166610,1.392838,-1.639626,1.242731,0.344850,0.519750,0.116303,-0.336701,0.418395,-0.423816,0.445500,-0.105000,-0.023496,0.068020,-0.084524,0.085619,-0.090000
1.125000,0.415283,-1.163710,1.384444,-1.629195,1.232165,0.355957,0.516797,0.115642,-0.334788,0.416018,-0.421408,0.442969,-0.131250,-0.029369,0.085026,-0.105655,0.107024,-0.112500
1.150000,0.428159,-1.160829,1.376102,-1.618830,1.221665,0.366994,0.513188,0.114835,-0.332450,0.413113,-0.418465,0.439875,-0.157500,-0.035243,0.102031,-0.126786,0.128429,-0.135000
1.175000,0.440937,-1.157970,1.367825,-1.608544,1.211246,0.377946,0.508922,0.113880,-0.329687,0.409679,-0.414987,0.436219,-0.183750,-0.041117,0.119036,-0.147918,0.149834,-0.157500
1.200000,0.453600,-1.155136,1.359621,-1.598350,1.200920,0.388800,0.504000,0.112779,-0.326498,0.405717,-0.410973,0.432000,-0.210000,-0.046991,0.136041,-0.169049,0.171239,-0.180000
