time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
0.000000,0.000000,-1.256637,1.653470,-1.963495,1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025000,0.000013,-1.256634,1.653461,-1.963485,1.570785,0.000012,0.001600,0.000358,-0.001036,0.001288,-0.001305,0.001371,0.126369,0.028277,-0.081864,0.101726,-0.103044,0.108316
0.050000,0.000105,-1.256613,1.653402,-1.963411,1.570710,0.000090,0.006238,0.001396,-0.004041,0.005022,-0.005087,0.005347,0.243141,0.054407,-0.157510,0.195727,-0.198263,0.208406
0.075000,0.000349,-1.256559,1.653244,-1.963215,1.570512,0.000299,0.013679,0.003061,-0.008861,0.011011,-0.011154,0.011725,0.350561,0.078444,-0.227098,0.282199,-0.285855,0.300480
0.100000,0.000811,-1.256456,1.652945,-1.962843,1.570135,0.000695,0.023691,0.005301,-0.015347,0.019071,-0.019318,0.020306,0.448875,0.100444,-0.290788,0.361341,-0.366023,0.384750
0.125000,0.001553,-1.256290,1.652464,-1.962245,1.569530,0.001331,0.036049,0.008067,-0.023353,0.029019,-0.029395,0.030899,0.538330,0.120461,-0.348738,0.433352,-0.438967,0.461426
0.150000,0.002631,-1.256048,1.651766,-1.961378,1.568651,0.002255,0.050535,0.011308,-0.032738,0.040681,-0.041208,0.043316,0.619172,0.138550,-0.401108,0.498429,-0.504887,0.530719
0.175000,0.004096,-1.255721,1.650817,-1.960199,1.567457,0.003510,0.066938,0.014978,-0.043363,0.053884,-0.054583,0.057375,0.691646,0.154768,-0.448058,0.556771,-0.563985,0.592840
0.200000,0.005992,-1.255296,1.649588,-1.958672,1.565910,0.005136,0.085050,0.019031,-0.055097,0.068465,-0.069352,0.072900,0.756000,0.169168,-0.489747,0.608575,-0.616460,0.648000
0.225000,0.008361,-1.254766,1.648054,-1.956765,1.563979,0.007166,0.104672,0.023422,-0.067808,0.084260,-0.085352,0.089719,0.812479,0.181806,-0.526335,0.654040,-0.662514,0.696410
0.250000,0.011237,-1.254123,1.646191,-1.954450,1.561634,0.009631,0.125610,0.028107,-0.081372,0.101116,-0.102426,0.107666,0.861328,0.192737,-0.557980,0.693363,-0.702347,0.738281
0.275000,0.014651,-1.253359,1.643979,-1.951702,1.558850,0.012558,0.147677,0.033045,-0.095667,0.118879,-0.120419,0.126580,0.902795,0.202016,-0.584843,0.726744,-0.736160,0.773824
0.300000,0.018628,-1.252469,1.641402,-1.948500,1.555606,0.015967,0.170691,0.038195,-0.110576,0.137405,-0.139185,0.146306,0.937125,0.209698,-0.607083,0.754379,-0.764154,0.803250
0.325000,0.023191,-1.251448,1.638446,-1.944826,1.551885,0.019878,0.194476,0.043517,-0.125984,0.156552,-0.158580,0.166694,0.964564,0.215838,-0.624858,0.776468,-0.786528,0.826770
0.350000,0.028357,-1.250292,1.635100,-1.940668,1.547673,0.024306,0.218863,0.048974,-0.141783,0.176184,-0.178466,0.187597,0.985359,0.220491,-0.638330,0.793208,-0.803485,0.844594
