time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
0.000000,0.000000,-1.256637,1.653470,-1.963495,1.570796,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.020000,0.001600,-1.256279,1.652433,-1.962207,1.569492,0.001371,0.160000,0.035803,-0.103650,0.128799,-0.130468,0.137143,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.040000,0.006400,-1.255205,1.649324,-1.958343,1.565578,0.005486,0.320000,0.071606,-0.207300,0.257598,-0.260935,0.274286,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.060000,0.014400,-1.253415,1.644141,-1.951904,1.559054,0.012343,0.480000,0.107408,-0.310951,0.386397,-0.391403,0.411429,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.080000,0.025600,-1.250909,1.636886,-1.942888,1.549921,0.021943,0.640000,0.143211,-0.414601,0.515196,-0.521871,0.548571,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.100000,0.040000,-1.247686,1.627557,-1.931296,1.538179,0.034286,0.800000,0.179014,-0.518251,0.643995,-0.652339,0.685714,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.120000,0.057600,-1.243748,1.616156,-1.917128,1.523828,0.049371,0.960000,0.214817,-0.621901,0.772794,-0.782806,0.822857,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.140000,0.078400,-1.239094,1.602681,-1.900384,1.506867,0.067200,1.120000,0.250619,-0.725552,0.901593,-0.913274,0.960000,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.160000,0.102400,-1.233723,1.587134,-1.881064,1.487297,0.087771,1.280000,0.286422,-0.829202,1.030392,-1.043742,1.097143,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.180000,0.129600,-1.227637,1.569513,-1.859168,1.465117,0.111086,1.440000,0.322225,-0.932852,1.159191,-1.174210,1.234286,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.200000,0.160000,-1.220834,1.549820,-1.834696,1.440329,0.137143,1.600000,0.358028,-1.036502,1.287990,-1.304677,1.371429,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.220000,0.193600,-1.213316,1.528053,-1.807649,1.412930,0.165943,1.760000,0.393830,-1.140153,1.416788,-1.435145,1.508571,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.240000,0.230400,-1.205081,1.504213,-1.778025,1.382923,0.197486,1.920000,0.429633,-1.243803,1.545587,-1.565613,1.645714,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.260000,0.270400,-1.196130,1.478301,-1.745825,1.350306,0.231771,2.080000,0.465436,-1.347453,1.674386,-1.696081,1.782857,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.280000,0.313600,-1.186464,1.450315,-1.711049,1.315080,0.268800,2.240000,0.501239,-1.451103,1.803185,-1.826548,1.920000,8.000000,1.790138,-5.182512,6.439948,-6.523387,6.857143
0.300000,0.359859,-1.176112,1.420348,-1.673811,1.277359,0.308451,2.332864,0.522018,-1.511262,1.877940,-1.902272,1.999598,-8.000000,-1.790138,5.182512,-6.439948,6.523387,-6.857143
0.320000,0.404916,-1.166030,1.391159,-1.637540,1.240618,0.347071,2.172864,0.486216,-1.407612,1.749141,-1.771804,1.862455,-8.000000,-1.790138,5.182512,-6.439948,6.523387,-6.857143
0.340000,0.446774,-1.156664,1.364044,-1.603846,1.206487,0.382949,2.012864,0.450413,-1.303961,1.620342,-1.641336,1.725312,-8.000000,-1.790138,5.182512,-6.439948,6.523387,-6.857143
0.360000,0.485431,-1.148014,1.339001,-1.572727,1.174965,0.416084,1.852864,0.414610,-1.200311,1.491543,-1.510868,1.588169,-8.000000,-1.790138,5.182512,-6.439948,6.523387,-6.857143
0.380000,0.520888,-1.140079,1.316031,-1.544184,1.146052,0.446476,1.692864,0.378807,-1.096661,1.362744,-1.380401,1.451026,-8.000000,-1.790138,5.182512,-6.439948,6.523387,-6.857143
0.400000,0.553146,-1.132861,1.295134,-1.518217,1.119749,0.474125,1.532864,0.343005,-0.993011,1.233945,-1.249933,1.313883,-8.000000,-1.790138,5.182512,-6.439948,6.523387,-6.857143
0.420000,0.582203,-1.126359,1.276311,-1.494826,1.096055,0.499031,1.372864,0.307202,-0.889360,1.105146,-1.119465,1.176740,-8.000000,-1.790138,5.182512,-6.439948,6.523387,-6.857143
