time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
0.000000,0.000000,-1.256637,1.653470,-1.963495,1.570796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025000,0.000009,-1.256653,1.653476,-1.963470,1.570796,0.000000,0.001074,-0.001845,0.000787,0.003027,-0.000004,0.000000,0.084494,-0.145060,0.061904,0.238059,-0.000336,0.000000
0.050000,0.000070,-1.256758,1.653521,-1.963297,1.570796,0.000000,0.004153,-0.007130,0.003043,0.011701,-0.000017,0.000000,0.160395,-0.275369,0.117514,0.451909,-0.000639,0.000000
0.075000,0.000232,-1.257035,1.653640,-1.962843,1.570795,0.000000,0.009025,-0.015494,0.006612,0.025428,-0.000036,0.000000,0.228000,-0.391434,0.167044,0.642385,-0.000908,0.000000
0.100000,0.000535,-1.257555,1.653862,-1.961988,1.570794,0.000000,0.015486,-0.026587,0.011346,0.043633,-0.000062,0.000000,0.287605,-0.493764,0.210714,0.810320,-0.001145,0.000000
0.125000,0.001018,-1.258384,1.654215,-1.960628,1.570792,0.000000,0.023341,-0.040072,0.017101,0.065763,-0.000093,0.000000,0.339506,-0.582869,0.248740,0.956551,-0.001352,0.000000
0.150000,0.001712,-1.259576,1.654724,-1.958672,1.570790,0.000000,0.032400,-0.055625,0.023738,0.091286,-0.000129,0.000000,0.384000,-0.659257,0.281338,1.081911,-0.001529,0.000000
0.175000,0.002646,-1.261180,1.655408,-1.956040,1.570786,0.000000,0.042482,-0.072933,0.031124,0.119691,-0.000169,0.000000,0.421383,-0.723436,0.308726,1.187236,-0.001678,0.000000
0.200000,0.003843,-1.263235,1.656286,-1.952667,1.570781,0.000000,0.053412,-0.091699,0.039133,0.150488,-0.000213,0.000000,0.451951,-0.775915,0.331122,1.273360,-0.001800,0.000000
0.225000,0.005322,-1.265775,1.657369,-1.948500,1.570775,0.000000,0.065025,-0.111636,0.047641,0.183206,-0.000259,0.000000,0.476000,-0.817204,0.348742,1.341119,-0.001895,0.000000
0.250000,0.007099,-1.268824,1.658671,-1.943495,1.570768,0.000000,0.077160,-0.132470,0.056532,0.217398,-0.000307,0.000000,0.493827,-0.847810,0.361803,1.391347,-0.001966,0.000000
0.275000,0.009183,-1.272403,1.660198,-1.937621,1.570760,0.000000,0.089667,-0.153942,0.065695,0.252635,-0.000357,0.000000,0.505728,-0.868242,0.370522,1.424878,-0.002014,0.000000
0.300000,0.011584,-1.276525,1.661957,-1.930858,1.570750,0.000000,0.102400,-0.175802,0.075023,0.288510,-0.000408,0.000000,0.512000,-0.879009,0.375117,1.442548,-0.002039,0.000000
0.325000,0.014304,-1.281195,1.663950,-1.923194,1.570739,0.000000,0.115223,-0.197816,0.084418,0.324637,-0.000459,0.000000,0.512938,-0.880620,0.375805,1.445192,-0.002042,0.000000
0.350000,0.017345,-1.286415,1.666177,-1.914627,1.570727,0.000000,0.128005,-0.219761,0.093783,0.360651,-0.000510,0.000000,0.508840,-0.873583,0.372802,1.433644,-0.002026,0.000000
0.375000,0.020703,-1.292180,1.668638,-1.905165,1.570714,0.000000,0.140625,-0.241427,0.103029,0.396208,-0.000560,0.000000,0.500000,-0.858407,0.366325,1.408739,-0.001991,0.000000
0.400000,0.024374,-1.298482,1.671327,-1.894823,1.570699,0.000000,0.152968,-0.262618,0.112072,0.430984,-0.000609,0.000000,0.486716,-0.835601,0.356593,1.371311,-0.001938,0.000000
0.425000,0.028348,-1.305306,1.674239,-1.883625,1.570683,0.000000,0.164926,-0.283148,0.120833,0.464676,-0.000657,0.000000,0.469284,-0.805674,0.343821,1.322197,-0.001869,0.000000
0.450000,0.032616,-1.312633,1.677366,-1.871601,1.570666,0.000000,0.176400,-0.302846,0.129240,0.497003,-0.000702,0.000000,0.448000,-0.769133,0.328228,1.262230,-0.001784,0.000000
0.475000,0.037164,-1.320440,1.680698,-1.858788,1.570648,0.000000,0.187297,-0.321554,0.137223,0.527704,-0.000746,0.000000,0.423160,-0.726488,0.310029,1.192245,-0.001685,0.000000
0.500000,0.041975,-1.328701,1.684223,-1.845231,1.570629,0.000000,0.197531,-0.339124,0.144721,0.556539,-0.000786,0.000000,0.395062,-0.678248,0.289442,1.113077,-0.001573,0.000000
0.525000,0.047034,-1.337386,1.687929,-1.830979,1.570609,0.000000,0.207025,-0.355424,0.151677,0.583288,-0.000824,0.000000,0.364000,-0.624921,0.266685,1.025562,-0.001449,0.000000
0.550000,0.052320,-1.346460,1.691802,-1.816086,1.570588,0.000000,0.215709,-0.370332,0.158039,0.607754,-0.000859,0.000000,0.330272,-0.567015,0.241974,0.930533,-0.001315,0.000000
0.575000,0.057812,-1.355890,1.695826,-1.800611,1.570566,0.000000,0.223519,-0.383740,0.163761,0.629759,-0.000890,0.000000,0.294173,-0.505040,0.215526,0.828825,-0.001171,0.000000
0.600000,0.063488,-1.365634,1.699984,-1.784619,1.570544,0.000000,0.230400,-0.395554,0.168803,0.649147,-0.000917,0.000000,0.256000,-0.439505,0.187559,0.721274,-0.001019,0.000000
