time,controller,q_error_rms,ee_error,torque_norm
0.000000,task_impedance,0.00000000,0.00000000,26.48031850
0.010000,task_impedance,0.00000039,0.00000048,26.48034247
0.020000,task_impedance,0.00000313,0.00000383,26.48050850
0.030000,task_impedance,0.00001050,0.00001284,26.48095277
0.040000,task_impedance,0.00002471,0.00003024,26.48180478
0.050000,task_impedance,0.00004794,0.00005865,26.48318742
0.060000,task_impedance,0.00008228,0.00010064,26.48521715
0.070000,task_impedance,0.00012977,0.00015867,26.48800410
0.080000,task_impedance,0.00019236,0.00023514,26.49165232
0.090000,task_impedance,0.00027197,0.00033235,26.49625996
0.100000,task_impedance,0.00037042,0.00045250,26.50191954
0.110000,task_impedance,0.00048950,0.00059774,26.50871820
0.120000,task_impedance,0.00063090,0.00077009,26.51673795
0.130000,task_impedance,0.00079627,0.00097151,26.52605600
0.140000,task_impedance,0.00098717,0.00120386,26.53674496
0.150000,task_impedance,0.00120512,0.00146891,26.54887316
0.160000,task_impedance,0.00145155,0.00176833,26.56250497
0.170000,task_impedance,0.00172783,0.00210372,26.57770093
0.180000,task_impedance,0.00203529,0.00247657,26.59451812
0.190000,task_impedance,0.00237515,0.00288829,26.61301032
0.200000,task_impedance,0.00274861,0.00334018,26.63322830
0.210000,task_impedance,0.00315677,0.00383347,26.65521993
0.220000,task_impedance,0.00360068,0.00436930,26.67903046
0.230000,task_impedance,0.00408133,0.00494869,26.70470258
0.240000,task_impedance,0.00459966,0.00557259,26.73227665
0.250000,task_impedance,0.00515651,0.00624187,26.76179077
0.260000,task_impedance,0.00575270,0.00695727,26.79328085
0.270000,task_impedance,0.00638897,0.00771949,26.82678075
0.280000,task_impedance,0.00706601,0.00852910,26.86232228
0.290000,task_impedance,0.00778444,0.00938660,26.89993523
0.300000,task_impedance,0.00854484,0.01029240,26.93964737
0.310000,task_impedance,0.00934773,0.01124681,26.98148452
0.320000,task_impedance,0.01019357,0.01225008,27.02547041
0.330000,task_impedance,0.01108277,0.01330234,27.07162667
0.340000,task_impedance,0.01201570,0.01440366,27.11997282
0.350000,task_impedance,0.01299267,0.01555402,27.17052614
0.360000,task_impedance,0.01401396,0.01675331,27.22330157
0.370000,task_impedance,0.01507978,0.01800135,27.27831170
0.380000,task_impedance,0.01619031,0.01929786,27.33556655
0.390000,task_impedance,0.01734568,0.02064250,27.39507357
0.400000,task_impedance,0.01854601,0.02203485,27.45683742
0.410000,task_impedance,0.01979134,0.02347441,27.52085999
0.420000,task_impedance,0.02108170,0.02496059,27.58714016
0.430000,task_impedance,0.02241708,0.02649274,27.65567376
0.440000,task_impedance,0.02379743,0.02807015,27.72645344
0.450000,task_impedance,0.02522270,0.02969202,27.79946860
0.460000,task_impedance,0.02669277,0.03135748,27.87470528
0.470000,task_impedance,0.02820752,0.03306560,27.95214607
0.480000,task_impedance,0.02976681,0.03481540,28.03177008
0.490000,task_impedance,0.03137046,0.03660580,28.11355287
0.500000,task_impedance,0.03301830,0.03843570,28.19746640
0.510000,task_impedance,0.03471010,0.04030391,28.28347903
0.520000,task_impedance,0.03644566,0.04220919,28.37155552
0.530000,task_impedance,0.03822475,0.04415025,28.46165700
0.540000,task_impedance,0.04004711,0.04612574,28.55374107
0.550000,task_impedance,0.04191250,0.04813427,28.64776180
0.560000,task_impedance,0.04382066,0.05017439,28.74366983
0.570000,task_impedance,0.04577134,0.05224460,28.84141244
0.580000,task_impedance,0.04776426,0.05434336,28.94093369
0.590000,task_impedance,0.04979916,0.05646911,29.04217449
0.600000,task_impedance,0.05187578,0.05862021,29.14507279
0.610000,task_impedance,0.05399386,0.06079502,29.24956376
0.620000,task_impedance,0.05615315,0.06299184,29.35557994
