time,phase,ee_error,manipulability,torque_norm,collision,avg_step_s
0.000000,multi_waypoint,0.00000000,0.14342848,26.48031850,False,0.00574777
0.012500,multi_waypoint,0.00043199,0.14339846,85.20561861,False,
0.025000,multi_waypoint,0.00136809,0.14331163,142.86895455,False,
0.037500,multi_waypoint,0.00271881,0.14314777,185.17392534,False,
0.050000,multi_waypoint,0.00411395,0.14290914,187.04311066,False,
0.062500,multi_waypoint,0.00522654,0.14259372,188.92423505,False,
0.075000,multi_waypoint,0.00577273,0.14219524,190.70850336,False,
0.087500,multi_waypoint,0.00551642,0.14170333,192.31932557,False,
0.100000,multi_waypoint,0.00430214,0.14110372,193.70516130,False,
0.112500,multi_waypoint,0.00240008,0.14037855,194.83382345,False,
0.125000,multi_waypoint,0.00353885,0.13950680,195.68803959,False,
0.137500,multi_waypoint,0.00863796,0.13846478,196.26204125,False,
0.150000,multi_waypoint,0.01568380,0.13722681,196.55896724,False,
0.162500,multi_waypoint,0.02450454,0.13576599,196.58890009,False,
0.175000,multi_waypoint,0.03510772,0.13405520,196.36738908,False,
0.187500,multi_waypoint,0.04750608,0.13206817,195.91434406,False,
0.200000,multi_waypoint,0.06169493,0.12978082,195.25320791,False,
0.212500,multi_waypoint,0.07764646,0.12717264,194.41033407,False,
0.225000,multi_waypoint,0.09530763,0.12422831,193.41450806,False,
0.237500,multi_waypoint,0.11459890,0.12093932,192.29656044,False,
0.250000,multi_waypoint,0.13541359,0.11730556,191.08902401,False,
0.262500,multi_waypoint,0.15761758,0.11333692,189.82579151,False,
0.275000,multi_waypoint,0.18104953,0.10905449,188.54173270,False,
0.287500,multi_waypoint,0.20552165,0.10449136,187.27223329,False,
0.300000,multi_waypoint,0.23082113,0.09969276,186.05262408,False,
0.312500,multi_waypoint,0.25671214,0.09471525,184.91747807,False,
0.325000,multi_waypoint,0.28293847,0.08962480,183.89976802,False,
0.337500,multi_waypoint,0.30922678,0.08449375,183.02989607,False,
0.350000,multi_waypoint,0.33529022,0.07939705,182.33463088,False,
0.362500,multi_waypoint,0.36083229,0.07440871,181.83601262,False,
0.375000,multi_waypoint,0.38555082,0.06960054,181.55030834,False,
0.387500,multi_waypoint,0.40914170,0.06504643,181.48711439,False,
0.400000,multi_waypoint,0.43130226,0.06083674,181.64870431,False,
0.412500,multi_waypoint,0.45173400,0.05710700,182.02970594,False,
0.425000,multi_waypoint,0.47014450,0.05408189,182.61716168,False,
0.437500,multi_waypoint,0.48624841,0.05212248,183.39098400,False,
0.450000,multi_waypoint,0.49976750,0.05173834,184.32477158,False,
0.462500,multi_waypoint,0.51042968,0.05350387,185.38690863,False,
0.475000,multi_waypoint,0.51796722,0.05786556,186.54183823,False,
0.487500,multi_waypoint,0.52211434,0.06495854,187.75138503,False,
0.500000,multi_waypoint,0.52260437,0.07457583,188.97600605,False,
0.512500,multi_waypoint,0.51916700,0.08626563,190.17586786,False,
0.525000,multi_waypoint,0.51152593,0.09943309,191.31168202,False,
0.537500,multi_waypoint,0.49939740,0.11339095,192.34527376,False,
0.550000,multi_waypoint,0.48328653,0.12718469,100.81204594,False,
0.562500,multi_waypoint,0.46425379,0.13977420,124.78512263,False,
0.575000,multi_waypoint,0.44273873,0.15044836,194.49473406,False,
0.587500,multi_waypoint,0.41864393,0.15878765,194.77790247,False,
0.600000,multi_waypoint,0.39191176,0.16451465,194.77749453,False,
0.612500,multi_waypoint,0.36252880,0.16749050,194.47229445,False,
0.625000,multi_waypoint,0.33053070,0.16770754,193.85201788,False,
0.637500,multi_waypoint,0.29600753,0.16527770,192.91971148,False,
0.650000,multi_waypoint,0.25910931,0.16041654,191.69408269,False,
0.662500,multi_waypoint,0.22005244,0.15342386,190.21175485,False,
0.675000,multi_waypoint,0.17912881,0.14466190,188.52944185,False,
0.687500,multi_waypoint,0.13672594,0.13453239,186.72601172,False,
0.700000,multi_waypoint,0.09339823,0.12345372,184.90435041,False,
0.712500,multi_waypoint,0.05030979,0.11183958,183.19283519,False,
0.725000,multi_waypoint,0.01772171,0.10008001,181.74608099,False,
0.737500,multi_waypoint,0.04559121,0.08852577,180.74444983,False,
0.737500,multi_waypoint,0.08728756,0.07747659,180.39166837,False,
0.750000,multi_waypoint,0.12857407,0.06716549,181.48467525,False,
0.762500,multi_waypoint,0.16840217,0.05776615,185.10529265,False,
0.775000,multi_waypoint,0.20651379,0.04939457,190.14232572,False,
0.787500,multi_waypoint,0.24278410,0.04211378,195.77161089,False,
0.800000,multi_waypoint,0.27713735,0.03594083,201.41944966,False,
0.812500,multi_waypoint,0.30952483,0.03085567,206.70504567,False,
0.825000,multi_waypoint,0.33991663,0.02681048,211.38680049,False,
0.837500,multi_waypoint,0.36829732,0.02373808,215.32041713,False,
0.850000,multi_waypoint,0.39466315,0.02155723,218.42882118,False,
0.862500,multi_waypoint,0.41901969,0.02017406,220.68144972,False,
0.875000,multi_waypoint,0.44137987,0.01948133,222.08029673,False,
0.887500,multi_waypoint,0.46176214,0.01935973,222.65062562,False,
0.900000,multi_waypoint,0.48018878,0.01968347,222.43484364,False,
0.912500,multi_waypoint,0.49668435,0.02032851,221.48850075,False,
0.925000,multi_waypoint,0.51127432,0.02117990,219.87770877,False,
0.937500,multi_waypoint,0.52398381,0.02213592,217.67749941,False,
0.950000,multi_waypoint,0.53483650,0.02310942,214.97078334,False,
0.962500,multi_waypoint,0.54385371,0.02402764,211.84765984,False,
0.975000,multi_waypoint,0.55105360,0.02483123,208.40487563,False,
0.987500,multi_waypoint,0.55645058,0.02547335,204.74525409,False,
1.000000,multi_waypoint,0.56005482,0.02591875,200.97692205,False,
1.012500,multi_waypoint,0.56187197,0.02614320,197.21216043,False,
1.025000,multi_waypoint,0.56190299,0.02613302,193.56570802,False,
1.037500,multi_waypoint,0.56014409,0.02588490,190.15236927,False,
1.050000,multi_waypoint,0.55658688,0.02540590,187.08383301,False,
1.062500,multi_waypoint,0.55121861,0.02471368,184.46471249,False,
1.075000,multi_waypoint,0.54402256,0.02383699,182.38797182,False,
1.087500,multi_waypoint,0.53497853,0.02281643,180.93009076,False,
1.100000,multi_waypoint,0.52406351,0.02170555,180.14649389,False,
1.112500,multi_waypoint,0.51125241,0.02057236,180.06786659,False,
1.125000,multi_waypoint,0.49651898,0.01950126,180.69793846,False,
