q2_rad,q3_rad,manipulability,det_j
-3.141593,-3.141593,0.00000000,-0.00000000
-3.141593,-2.879793,0.00216612,-0.00216612
-3.141593,-2.617994,0.00009034,-0.00009034
-3.141593,-2.356194,0.00908310,0.00908310
-3.141593,-2.094395,0.02582609,0.02582609
-3.141593,-1.832596,0.04790058,0.04790058
-3.141593,-1.570796,0.07080500,0.07080500
-3.141593,-1.308997,0.08888418,0.08888418
-3.141593,-1.047198,0.09681177,0.09681177
-3.141593,-0.785398,0.09105030,0.09105030
-3.141593,-0.523599,0.07089534,0.07089534
-3.141593,-0.261799,0.03881748,0.03881748
-3.141593,0.000000,0.00000000,-0.00000000
-3.141593,0.261799,0.03881748,-0.03881748
-3.141593,0.523599,0.07089534,-0.07089534
-3.141593,0.785398,0.09105030,-0.09105030
-3.141593,1.047198,0.09681177,-0.09681177
-3.141593,1.308997,0.08888418,-0.08888418
-3.141593,1.570796,0.07080500,-0.07080500
-3.141593,1.832596,0.04790058,-0.04790058
-3.141593,2.094395,0.02582609,-0.02582609
-3.141593,2.356194,0.00908310,-0.00908310
-3.141593,2.617994,0.00009034,0.00009034
-3.141593,2.879793,0.00216612,0.00216612
-3.141593,3.141593,0.00000000,0.00000000
-2.988876,-3.141593,0.00000000,-0.00000000
-2.988876,-2.879793,0.00130563,-0.00130563
-2.988876,-2.617994,0.00302799,0.00302799
-2.988876,-2.356194,0.01521195,0.01521195
-2.988876,-2.094395,0.03487736,0.03487736
-2.988876,-1.832596,0.05897694,0.05897694
-2.988876,-1.570796,0.08245006,0.08245006
-2.988876,-1.308997,0.09948356,0.09948356
-2.988876,-1.047198,0.10503687,0.10503687
-2.988876,-0.785398,0.09622517,0.09622517
-2.988876,-0.523599,0.07318751,0.07318751
-2.988876,-0.261799,0.03920098,0.03920098
-2.988876,0.000000,0.00000000,0.00000000
-2.988876,0.261799,0.03753043,-0.03753043
-2.988876,0.523599,0.06695294,-0.06695294
-2.988876,0.785398,0.08375604,-0.08375604
-2.988876,1.047198,0.08633318,-0.08633318
-2.988876,1.308997,0.07621585,-0.07621585
-2.988876,1.570796,0.05751181,-0.05751181
-2.988876,1.832596,0.03570923,-0.03570923
-2.988876,2.094395,0.01617367,-0.01617367
-2.988876,2.356194,0.00274282,-0.00274282
-2.988876,2.617994,0.00320657,0.00320657
-2.988876,2.879793,0.00297618,0.00297618
-2.988876,3.141593,0.00000000,0.00000000
