time,controller,q_error_rms,ee_error,torque_norm
0.000000,computed_torque,0.00000000,0.00000000,26.48031850
0.010000,computed_torque,0.00000213,0.00000263,26.54283035
0.020000,computed_torque,0.00000689,0.00000851,26.64646418
0.030000,computed_torque,0.00001431,0.00001770,26.78565486
0.040000,computed_torque,0.00002443,0.00003026,26.95546879
0.050000,computed_torque,0.00003726,0.00004618,27.15153119
0.060000,computed_torque,0.00005277,0.00006547,27.36995987
0.070000,computed_torque,0.00007095,0.00008807,27.60730575
0.080000,computed_torque,0.00009174,0.00011394,27.86049992
0.090000,computed_torque,0.00011509,0.00014301,28.12680691
0.100000,computed_torque,0.00014094,0.00017520,28.40378387
0.110000,computed_torque,0.00016922,0.00021042,28.68924477
0.120000,computed_torque,0.00019985,0.00024858,28.98122961
0.130000,computed_torque,0.00023275,0.00028956,29.27797754
0.140000,computed_torque,0.00026782,0.00033327,29.57790379
0.150000,computed_torque,0.00030500,0.00037959,29.87957963
0.160000,computed_torque,0.00034417,0.00042841,30.18171518
0.170000,computed_torque,0.00038526,0.00047962,30.48314448
0.180000,computed_torque,0.00042817,0.00053309,30.78281257
0.190000,computed_torque,0.00047281,0.00058873,31.07976434
0.200000,computed_torque,0.00051909,0.00064640,31.37313474
0.210000,computed_torque,0.00056691,0.00070601,31.66214032
0.220000,computed_torque,0.00061620,0.00076744,31.94607173
0.230000,computed_torque,0.00066685,0.00083059,32.22428726
0.240000,computed_torque,0.00071878,0.00089534,32.49620696
0.250000,computed_torque,0.00077192,0.00096159,32.76130762
0.260000,computed_torque,0.00082616,0.00102924,33.01911813
0.270000,computed_torque,0.00088144,0.00109819,33.26921544
0.280000,computed_torque,0.00093766,0.00116835,33.51122094
0.290000,computed_torque,0.00099476,0.00123962,33.74479713
0.300000,computed_torque,0.00105266,0.00131191,33.96964463
0.310000,computed_torque,0.00111128,0.00138512,34.18549959
0.320000,computed_torque,0.00117055,0.00145918,34.39213114
0.330000,computed_torque,0.00123039,0.00153401,34.58933916
0.340000,computed_torque,0.00129075,0.00160951,34.77695237
0.350000,computed_torque,0.00135156,0.00168561,34.95482630
0.360000,computed_torque,0.00141274,0.00176224,35.12284169
0.370000,computed_torque,0.00147424,0.00183932,35.28090287
0.380000,computed_torque,0.00153600,0.00191679,35.42893634
0.390000,computed_torque,0.00159796,0.00199456,35.56688942
0.400000,computed_torque,0.00166005,0.00207258,35.69472904
0.410000,computed_torque,0.00172224,0.00215079,35.81244059
0.420000,computed_torque,0.00178445,0.00222911,35.92002691
0.430000,computed_torque,0.00184665,0.00230749,36.01750730
0.440000,computed_torque,0.00190878,0.00238587,36.10491662
0.450000,computed_torque,0.00197079,0.00246419,36.18230455
0.460000,computed_torque,0.00203263,0.00254240,36.24973473
0.470000,computed_torque,0.00209427,0.00262045,36.30728415
0.480000,computed_torque,0.00215565,0.00269828,36.35504249
0.490000,computed_torque,0.00221673,0.00277585,36.39311150
0.500000,computed_torque,0.00227748,0.00285310,36.42160450
0.510000,computed_torque,0.00233785,0.00293000,36.44064587
0.520000,computed_torque,0.00239781,0.00300649,36.45037064
0.530000,computed_torque,0.00245731,0.00308253,36.45092396
0.540000,computed_torque,0.00251633,0.00315808,36.44246088
0.550000,computed_torque,0.00257483,0.00323309,36.42514587
0.560000,computed_torque,0.00263277,0.00330754,36.39915258
0.570000,computed_torque,0.00269013,0.00338137,36.36466353
0.580000,computed_torque,0.00274687,0.00345455,36.32186986
0.590000,computed_torque,0.00280296,0.00352705,36.27097105
0.600000,computed_torque,0.00285838,0.00359883,36.21217479
0.610000,computed_torque,0.00291310,0.00366986,36.14569670
0.620000,computed_torque,0.00296708,0.00374009,36.07176018
0.630000,computed_torque,0.00302031,0.00380951,35.99059629
0.640000,computed_torque,0.00307277,0.00387807,35.90244350
0.650000,computed_torque,0.00312442,0.00394575,35.80754767
0.660000,computed_torque,0.00317524,0.00401251,35.70616186
0.670000,computed_torque,0.00322522,0.00407834,35.59854615
0.680000,computed_torque,0.00327433,0.00414319,35.48496765
0.690000,computed_torque,0.00332255,0.00420705,35.36570029
0.700000,computed_torque,0.00336986,0.00426988,35.24102474
0.710000,computed_torque,0.00341624,0.00433166,35.11122829
0.720000,computed_torque,0.00346168,0.00439237,34.97660476
0.730000,computed_torque,0.00350616,0.00445198,34.83745430
0.740000,computed_torque,0.00354965,0.00451046,34.69408338
0.750000,computed_torque,0.00359216,0.00456779,34.54680450
0.760000,computed_torque,0.00363365,0.00462396,34.39593617
0.770000,computed_torque,0.00367412,0.00467893,34.24180267
0.780000,computed_torque,0.00371355,0.00473269,34.08473385
0.790000,computed_torque,0.00375192,0.00478521,33.92506499
0.800000,computed_torque,0.00378924,0.00483648,33.76313649
0.810000,computed_torque,0.00382547,0.00488647,33.59929364
0.820000,computed_torque,0.00386061,0.00493517,33.43388637
0.830000,computed_torque,0.00389466,0.00498256,33.26726886
0.840000,computed_torque,0.00392759,0.00502861,33.09979925
0.850000,computed_torque,0.00395940,0.00507332,32.93183922
0.860000,computed_torque,0.00399008,0.00511665,32.76375357
0.870000,computed_torque,0.00401962,0.00515861,32.59590972
0.880000,computed_torque,0.00404801,0.00519916,32.42867724
0.890000,computed_torque,0.00407524,0.00523830,32.26242727
0.900000,computed_torque,0.00410130,0.00527601,32.09753189
0.910000,computed_torque,0.00412619,0.00531228,31.93436349
0.920000,computed_torque,0.00414990,0.00534708,31.77329406
0.930000,computed_torque,0.00417241,0.00538041,31.61469441
0.940000,computed_torque,0.00419374,0.00541225,31.45893337
0.950000,computed_torque,0.00421386,0.00544259,31.30637695
0.960000,computed_torque,0.00423278,0.00547142,31.15738742
0.970000,computed_torque,0.00425049,0.00549872,31.01232235
0.980000,computed_torque,0.00426698,0.00552449,30.87153360
0.990000,computed_torque,0.00428225,0.00554871,30.73536637
1.000000,computed_torque,0.00429629,0.00557138,30.60415801
1.010000,computed_torque,0.00430910,0.00559247,30.47823700
1.020000,computed_torque,0.00432068,0.00561199,30.35792184
1.030000,computed_torque,0.00433103,0.00562992,30.24351987
1.040000,computed_torque,0.00434014,0.00564626,30.13532616
1.050000,computed_torque,0.00434800,0.00566099,30.03362236
1.060000,computed_torque,0.00435463,0.00567411,29.93867559
1.070000,computed_torque,0.00436001,0.00568561,29.85073735
1.080000,computed_torque,0.00436414,0.00569549,29.77004241
1.090000,computed_torque,0.00436703,0.00570374,29.69680784
1.100000,computed_torque,0.00436867,0.00571036,29.63123201
1.110000,computed_torque,0.00436906,0.00571533,29.57349370
1.120000,computed_torque,0.00436820,0.00571867,29.52375132
1.130000,computed_torque,0.00436610,0.00572035,29.48214212
1.140000,computed_torque,0.00436275,0.00572038,29.44878158
1.150000,computed_torque,0.00435815,0.00571876,29.42376289
1.160000,computed_torque,0.00435231,0.00571548,29.40715654
1.170000,computed_torque,0.00434524,0.00571054,29.39900998
1.180000,computed_torque,0.00433692,0.00570395,29.39934750
1.190000,computed_torque,0.00432736,0.00569570,29.40817017
1.200000,computed_torque,0.00431657,0.00568580,29.42545584
1.210000,computed_torque,0.00430456,0.00567423,29.45115949
1.220000,computed_torque,0.00429131,0.00566102,29.48521339
1.230000,computed_torque,0.00427685,0.00564615,29.52752766
1.240000,computed_torque,0.00426117,0.00562964,29.57799078
1.250000,computed_torque,0.00424428,0.00561148,29.63647024
1.260000,computed_torque,0.00422619,0.00559168,29.70281336
1.270000,computed_torque,0.00420690,0.00557025,29.77684803
1.280000,computed_torque,0.00418641,0.00554720,29.85838374
1.290000,computed_torque,0.00416474,0.00552252,29.94721250
1.300000,computed_torque,0.00414189,0.00549623,30.04310993
1.310000,computed_torque,0.00411788,0.00546833,30.14583635
1.320000,computed_torque,0.00409270,0.00543885,30.25513784
1.330000,computed_torque,0.00406638,0.00540777,30.37074748
1.340000,computed_torque,0.00403891,0.00537512,30.49238645
1.350000,computed_torque,0.00401031,0.00534091,30.61976522
1.360000,computed_torque,0.00398059,0.00530514,30.75258465
1.370000,computed_torque,0.00394976,0.00526784,30.89053720
1.380000,computed_torque,0.00391783,0.00522901,31.03330795
1.390000,computed_torque,0.00388481,0.00518868,31.18057579
1.400000,computed_torque,0.00385073,0.00514685,31.33201437
1.410000,computed_torque,0.00381558,0.00510354,31.48729311
1.420000,computed_torque,0.00377939,0.00505877,31.64607822
1.430000,computed_torque,0.00374216,0.00501256,31.80803351
1.440000,computed_torque,0.00370392,0.00496493,31.97282133
1.450000,computed_torque,0.00366468,0.00491589,32.14010332
1.460000,computed_torque,0.00362446,0.00486546,32.30954115
1.470000,computed_torque,0.00358326,0.00481368,32.48079723
1.480000,computed_torque,0.00354112,0.00476055,32.65353539
1.490000,computed_torque,0.00349804,0.00470610,32.82742137
1.500000,computed_torque,0.00345405,0.00465037,33.00212340
1.510000,computed_torque,0.00340917,0.00459336,33.17731274
1.520000,computed_torque,0.00336341,0.00453511,33.35266404
1.530000,computed_torque,0.00331679,0.00447564,33.52785573
1.540000,computed_torque,0.00326934,0.00441498,33.70257045
1.550000,computed_torque,0.00322108,0.00435315,33.87649526
1.560000,computed_torque,0.00317203,0.00429020,34.04932199
1.570000,computed_torque,0.00312221,0.00422614,34.22074741
1.580000,computed_torque,0.00307165,0.00416101,34.39047348
1.590000,computed_torque,0.00302036,0.00409483,34.55820753
1.600000,computed_torque,0.00296839,0.00402765,34.72366237
1.610000,computed_torque,0.00291574,0.00395949,34.88655643
1.620000,computed_torque,0.00286245,0.00389038,35.04661388
1.630000,computed_torque,0.00280853,0.00382037,35.20356471
1.640000,computed_torque,0.00275403,0.00374949,35.35714478
1.650000,computed_torque,0.00269897,0.00367777,35.50709589
1.660000,computed_torque,0.00264337,0.00360525,35.65316582
1.670000,computed_torque,0.00258727,0.00353197,35.79510839
1.680000,computed_torque,0.00253069,0.00345796,35.93268345
1.690000,computed_torque,0.00247367,0.00338327,36.06565691
1.700000,computed_torque,0.00241623,0.00330794,36.19380079
1.710000,computed_torque,0.00235841,0.00323201,36.31689324
1.720000,computed_torque,0.00230024,0.00315552,36.43471850
1.730000,computed_torque,0.00224175,0.00307851,36.54706701
1.740000,computed_torque,0.00218298,0.00300103,36.65373539
1.750000,computed_torque,0.00212396,0.00292311,36.75452650
1.760000,computed_torque,0.00206473,0.00284482,36.84924944
1.770000,computed_torque,0.00200531,0.00276618,36.93771968
1.780000,computed_torque,0.00194576,0.00268725,37.01975906
1.790000,computed_torque,0.00188610,0.00260807,37.09519594
1.800000,computed_torque,0.00182637,0.00252870,37.16386521
1.810000,computed_torque,0.00176661,0.00244917,37.22560852
1.820000,computed_torque,0.00170687,0.00236955,37.28027430
1.830000,computed_torque,0.00164718,0.00228987,37.32771799
1.840000,computed_torque,0.00158758,0.00221019,37.36780223
1.850000,computed_torque,0.00152811,0.00213057,37.40039702
1.860000,computed_torque,0.00146882,0.00205105,37.42537997
1.870000,computed_torque,0.00140976,0.00197168,37.44263661
1.880000,computed_torque,0.00135096,0.00189252,37.45206062
1.890000,computed_torque,0.00129248,0.00181363,37.45355424
1.900000,computed_torque,0.00123437,0.00173506,37.44702860
1.910000,computed_torque,0.00117667,0.00165685,37.43240415
1.920000,computed_torque,0.00111944,0.00157908,37.40961111
1.930000,computed_torque,0.00106274,0.00150180,37.37859002
1.940000,computed_torque,0.00100661,0.00142506,37.33929227
1.950000,computed_torque,0.00095113,0.00134892,37.29168074
1.960000,computed_torque,0.00089636,0.00127344,37.23573049
1.970000,computed_torque,0.00084237,0.00119869,37.17142948
1.980000,computed_torque,0.00078924,0.00112471,37.09877942
1.990000,computed_torque,0.00073706,0.00105159,37.01779666
2.000000,computed_torque,0.00068592,0.00097937,36.92851318
2.010000,computed_torque,0.00063593,0.00090812,36.83097762
2.020000,computed_torque,0.00058722,0.00083792,36.72525648
2.030000,computed_torque,0.00053996,0.00076882,36.61143538
2.040000,computed_torque,0.00049431,0.00070090,36.48962039
2.050000,computed_torque,0.00045052,0.00063424,36.35993957
2.060000,computed_torque,0.00040887,0.00056891,36.22254454
2.070000,computed_torque,0.00036974,0.00050501,36.07761222
2.080000,computed_torque,0.00033359,0.00044263,35.92534675
2.090000,computed_torque,0.00030102,0.00038191,35.76598144
2.100000,computed_torque,0.00027279,0.00032300,35.59978099
2.110000,computed_torque,0.00024976,0.00026615,35.42704382
2.120000,computed_torque,0.00023280,0.00021177,35.24810456
2.130000,computed_torque,0.00022259,0.00016066,35.06333671
2.140000,computed_torque,0.00021933,0.00011481,34.87315547
2.150000,computed_torque,0.00022259,0.00007991,34.67802082
