time,controller,q_error_rms,ee_error,torque_norm
0.000000,osc,0.00000000,0.00000000,26.48031850
0.010000,osc,0.00000039,0.00000048,26.48060149
0.020000,osc,0.00000309,0.00000376,26.48250082
0.030000,osc,0.00001032,0.00001255,26.48727573
0.040000,osc,0.00002418,0.00002934,26.49583983
0.050000,osc,0.00004666,0.00005646,26.50884416
0.060000,osc,0.00007963,0.00009604,26.52674276
0.070000,osc,0.00012482,0.00015004,26.54984254
0.080000,osc,0.00018389,0.00022019,26.57834006
0.090000,osc,0.00025835,0.00030804,26.61234809
0.100000,osc,0.00034966,0.00041496,26.65191427
0.110000,osc,0.00045916,0.00054214,26.69703393
0.120000,osc,0.00058815,0.00069059,26.74765923
0.130000,osc,0.00073785,0.00086118,26.80370534
0.140000,osc,0.00090942,0.00105461,26.86505530
0.150000,osc,0.00110401,0.00127145,26.93156379
0.160000,osc,0.00132271,0.00151213,27.00306059
0.170000,osc,0.00156661,0.00177696,27.07935383
0.180000,osc,0.00183677,0.00206615,27.16023331
0.190000,osc,0.00213424,0.00237980,27.24547385
0.200000,osc,0.00246008,0.00271792,27.33483876
0.210000,osc,0.00281536,0.00308044,27.42808329
0.220000,osc,0.00320112,0.00346720,27.52495811
0.230000,osc,0.00361846,0.00387798,27.62521256
0.240000,osc,0.00406844,0.00431250,27.72859795
0.250000,osc,0.00455216,0.00477043,27.83487036
0.260000,osc,0.00507072,0.00525139,27.94379337
0.270000,osc,0.00562524,0.00575493,28.05514037
0.280000,osc,0.00621683,0.00628060,28.16869660
0.290000,osc,0.00684663,0.00682791,28.28426078
0.300000,osc,0.00751575,0.00739631,28.40164642
0.310000,osc,0.00822535,0.00798526,28.52068283
0.320000,osc,0.00897654,0.00859419,28.64121576
0.330000,osc,0.00977045,0.00922250,28.76310771
0.340000,osc,0.01060819,0.00986959,28.88623809
0.350000,osc,0.01149088,0.01053484,29.01050297
0.360000,osc,0.01241961,0.01121763,29.13581471
0.370000,osc,0.01339544,0.01191732,29.26210143
0.380000,osc,0.01441943,0.01263327,29.38930617
0.390000,osc,0.01549261,0.01336483,29.51738604
0.400000,osc,0.01661596,0.01411136,29.64631129
0.410000,osc,0.01779047,0.01487222,29.77606411
0.420000,osc,0.01901706,0.01564675,29.90663759
0.430000,osc,0.02029664,0.01643432,30.03803447
0.440000,osc,0.02163006,0.01723428,30.17026595
0.450000,osc,0.02301815,0.01804599,30.30335050
0.460000,osc,0.02446168,0.01886883,30.43731254
0.470000,osc,0.02596141,0.01970215,30.57218134
0.480000,osc,0.02751801,0.02054533,30.70798979
0.490000,osc,0.02913213,0.02139776,30.84477329
0.500000,osc,0.03080438,0.02225882,30.98256857
0.510000,osc,0.03253530,0.02312791,31.12141273
0.520000,osc,0.03432540,0.02400442,31.26134213
0.530000,osc,0.03617513,0.02488776,31.40239152
0.540000,osc,0.03808491,0.02577735,31.54459308
0.550000,osc,0.04005507,0.02667260,31.68797561
0.560000,osc,0.04208594,0.02757295,31.83256370
0.570000,osc,0.04417777,0.02847782,31.97837703
