time,controller,q_error_rms,ee_error,torque_norm
0.000000,pd_gravity,0.00000000,0.00000000,26.48031850
0.010000,pd_gravity,0.00000037,0.00000046,26.48100159
0.020000,pd_gravity,0.00000300,0.00000372,26.48306748
0.030000,pd_gravity,0.00001006,0.00001249,26.48653692
0.040000,pd_gravity,0.00002364,0.00002938,26.49143541
0.050000,pd_gravity,0.00004572,0.00005687,26.49779340
0.060000,pd_gravity,0.00007817,0.00009736,26.50564654
0.070000,pd_gravity,0.00012277,0.00015314,26.51503587
0.080000,pd_gravity,0.00018123,0.00022638,26.52600788
0.090000,pd_gravity,0.00025512,0.00031916,26.53861463
0.100000,pd_gravity,0.00034595,0.00043347,26.55291356
0.110000,pd_gravity,0.00045514,0.00057116,26.56896759
0.120000,pd_gravity,0.00058400,0.00073403,26.58684480
0.130000,pd_gravity,0.00073378,0.00092374,26.60661842
0.140000,pd_gravity,0.00090561,0.00114188,26.62836636
0.150000,pd_gravity,0.00110056,0.00138993,26.65217106
0.160000,pd_gravity,0.00131963,0.00166930,26.67811905
0.170000,pd_gravity,0.00156372,0.00198127,26.70630055
0.180000,pd_gravity,0.00183365,0.00232707,26.73680902
0.190000,pd_gravity,0.00213017,0.00270781,26.76974067
0.200000,pd_gravity,0.00245397,0.00312453,26.80519392
0.210000,pd_gravity,0.00280564,0.00357819,26.84326886
0.220000,pd_gravity,0.00318573,0.00406964,26.88406660
0.230000,pd_gravity,0.00359471,0.00459968,26.92768871
0.240000,pd_gravity,0.00403296,0.00516901,26.97423652
0.250000,pd_gravity,0.00450084,0.00577825,27.02381052
0.260000,pd_gravity,0.00499861,0.00642797,27.07650964
0.270000,pd_gravity,0.00552649,0.00711863,27.13243061
0.280000,pd_gravity,0.00608463,0.00785065,27.19166726
0.290000,pd_gravity,0.00667313,0.00862434,27.25430985
0.300000,pd_gravity,0.00729204,0.00943998,27.32044443
0.310000,pd_gravity,0.00794135,0.01029775,27.39015211
0.320000,pd_gravity,0.00862099,0.01119780,27.46350852
0.330000,pd_gravity,0.00933085,0.01214017,27.54058309
0.340000,pd_gravity,0.01007077,0.01312489,27.62143857
