time,phase,ee_error,manipulability,torque_norm,collision,avg_step_s
0.000000,circle_tracking,0.00000000,0.14342848,26.48031850,False,0.00541917
0.007500,circle_tracking,0.00075472,0.14337975,187.43517690,False,
0.015000,circle_tracking,0.00189654,0.14329845,199.56212113,False,
0.022500,circle_tracking,0.00303339,0.14319702,213.76259440,False,
0.030000,circle_tracking,0.00384502,0.14308393,227.65938811,False,
0.037500,circle_tracking,0.00413356,0.14296370,240.00543673,False,
0.045000,circle_tracking,0.00402004,0.14283678,250.21633009,False,
0.052500,circle_tracking,0.00451499,0.14269963,258.07529967,False,
0.060000,circle_tracking,0.00720114,0.14254475,263.56712051,False,
0.067500,circle_tracking,0.01231562,0.14236083,266.78718942,False,
0.075000,circle_tracking,0.01961497,0.14213285,267.89175139,False,
0.082500,circle_tracking,0.02904867,0.14184235,267.07054566,False,
0.090000,circle_tracking,0.04065111,0.14146768,264.53188180,False,
0.097500,circle_tracking,0.05447026,0.14098432,260.49478556,False,
0.105000,circle_tracking,0.07054312,0.14036532,255.18527257,False,
0.112500,circle_tracking,0.08888632,0.13958177,248.83507584,False,
0.120000,circle_tracking,0.10949152,0.13860335,241.68180961,False,
0.127500,circle_tracking,0.13232252,0.13739904,233.96986545,False,
0.135000,circle_tracking,0.15731331,0.13593785,225.95143504,False,
0.142500,circle_tracking,0.18436664,0.13418967,217.88700273,False,
0.150000,circle_tracking,0.21335328,0.13212621,210.04449308,False,
0.157500,circle_tracking,0.24411199,0.12972208,202.69606306,False,
0.165000,circle_tracking,0.27645039,0.12695584,196.11142822,False,
0.172500,circle_tracking,0.31014673,0.12381128,190.54683152,False,
0.180000,circle_tracking,0.34495273,0.12027859,186.22957380,False,
0.187500,circle_tracking,0.38059730,0.11635568,183.33954237,False,
0.195000,circle_tracking,0.41679125,0.11204949,181.99105556,False,
0.202500,circle_tracking,0.45323256,0.10737727,182.21962561,False,
0.210000,circle_tracking,0.48961230,0.10236776,183.97779191,False,
0.217500,circle_tracking,0.52562064,0.09706232,187.14167615,False,
0.225000,circle_tracking,0.56095282,0.09151573,191.52648188,False,
0.232500,circle_tracking,0.59531474,0.08579673,196.90667466,False,
0.240000,circle_tracking,0.62842783,0.07998790,203.03616743,False,
0.247500,circle_tracking,0.66003301,0.07418472,209.66517937,False,
0.255000,circle_tracking,0.68989354,0.06849341,216.55237022,False,
0.262500,circle_tracking,0.71779655,0.06302701,223.47239409,False,
0.270000,circle_tracking,0.74355334,0.05789938,230.21981357,False,
0.277500,circle_tracking,0.76699837,0.05321735,236.61049729,False,
0.285000,circle_tracking,0.78798706,0.04907208,242.48147062,False,
0.292500,circle_tracking,0.80639262,0.04553311,247.68993052,False,
0.300000,circle_tracking,0.82210214,0.04265049,252.11189474,False,
0.307500,circle_tracking,0.83501217,0.04047088,255.64078043,False,
0.315000,circle_tracking,0.84502409,0.03906947,258.18609957,False,
0.322500,circle_tracking,0.85203974,0.03858875,259.67240761,False,
0.330000,circle_tracking,0.85595751,0.03926084,260.03863401,False,
0.337500,circle_tracking,0.85666931,0.04138225,259.23795060,False,
0.345000,circle_tracking,0.85405875,0.04523227,257.23839361,False,
0.352500,circle_tracking,0.84800074,0.05097699,254.02455377,False,
0.360000,circle_tracking,0.83836296,0.05862075,249.60079985,False,
0.367500,circle_tracking,0.82505086,0.06800584,235.70004633,False,
0.375000,circle_tracking,0.80872830,0.07860711,160.67488567,False,
0.382500,circle_tracking,0.78985926,0.08985996,229.56344057,False,
0.390000,circle_tracking,0.76845789,0.10136271,221.02875857,False,
0.397500,circle_tracking,0.74458392,0.11275276,211.93630415,False,
0.405000,circle_tracking,0.71834916,0.12371127,202.69559068,False,
0.412500,circle_tracking,0.68992390,0.13396656,193.91419611,False,
0.420000,circle_tracking,0.65954299,0.14329687,186.45644321,False,
0.427500,circle_tracking,0.62751100,0.15153213,181.47562553,False,
0.435000,circle_tracking,0.59420631,0.15855438,180.36171197,False,
0.442500,circle_tracking,0.56008370,0.16429671,184.54345370,False,
0.442500,circle_tracking,0.52567551,0.16874044,195.16930859,False,
0.450000,circle_tracking,0.49146647,0.17188693,197.50650650,False,
0.457500,circle_tracking,0.45762664,0.17376800,199.70635530,False,
0.465000,circle_tracking,0.42423632,0.17444114,201.60347124,False,
0.472500,circle_tracking,0.39136984,0.17398464,203.10364697,False,
0.480000,circle_tracking,0.35909587,0.17249287,204.16202390,False,
0.487500,circle_tracking,0.32747785,0.17007178,204.76752960,False,
0.495000,circle_tracking,0.29657421,0.16683475,204.93199021,False,
0.502500,circle_tracking,0.26643882,0.16289886,204.68258482,False,
0.510000,circle_tracking,0.23712132,0.15838158,204.05663200,False,
0.517500,circle_tracking,0.20866764,0.15339803,203.09798022,False,
0.525000,circle_tracking,0.18112064,0.14805861,201.85448927,False,
0.532500,circle_tracking,0.15452126,0.14246719,200.37624512,False,
0.540000,circle_tracking,0.12891040,0.13671976,198.71425994,False,
0.547500,circle_tracking,0.10433315,0.13090342,196.91948490,False,
0.555000,circle_tracking,0.08084902,0.12509582,195.04201632,False,
0.562500,circle_tracking,0.05856289,0.11936493,193.13041352,False,
0.570000,circle_tracking,0.03775008,0.11376905,191.23107445,False,
0.577500,circle_tracking,0.01966684,0.10835712,189.38763635,False,
0.585000,circle_tracking,0.01352336,0.10316919,187.64038611,False,
0.592500,circle_tracking,0.02620205,0.09823704,186.02567895,False,
0.600000,circle_tracking,0.04215113,0.09358490,184.57537645,False,
0.607500,circle_tracking,0.05778088,0.08923031,183.31632406,False,
0.615000,circle_tracking,0.07255532,0.08518491,182.26989480,False,
0.622500,circle_tracking,0.08632929,0.08145528,181.45162892,False,
0.630000,circle_tracking,0.09904800,0.07804387,180.87099738,False,
0.637500,circle_tracking,0.11068676,0.07494969,180.53131232,False,
0.645000,circle_tracking,0.12123357,0.07216918,180.42979800,False,
0.652500,circle_tracking,0.13068264,0.06969684,180.55782498,False,
0.660000,circle_tracking,0.13903166,0.06752591,180.90129791,False,
0.667500,circle_tracking,0.14628035,0.06564895,181.44117701,False,
0.675000,circle_tracking,0.15242978,0.06405830,182.15410488,False,
0.682500,circle_tracking,0.15748178,0.06274655,183.01310623,False,
0.690000,circle_tracking,0.16143876,0.06170690,183.98832721,False,
0.697500,circle_tracking,0.16430339,0.06093343,185.04778453,False,
0.705000,circle_tracking,0.16607853,0.06042137,186.15809952,False,
0.712500,circle_tracking,0.16676706,0.06016721,187.28519995,False,
0.720000,circle_tracking,0.16637189,0.06016883,188.39497970,False,
0.727500,circle_tracking,0.16489584,0.06042555,189.45391367,False,
0.735000,circle_tracking,0.16234170,0.06093810,190.42963210,False,
0.742500,circle_tracking,0.15871220,0.06170852,191.29146343,False,
0.750000,circle_tracking,0.15419426,0.06269718,166.11397618,False,
0.757500,circle_tracking,0.14900182,0.06385785,138.13251114,False,
0.765000,circle_tracking,0.14331480,0.06515130,116.07634048,False,
0.772500,circle_tracking,0.13728377,0.06654406,99.19978247,False,
0.780000,circle_tracking,0.13103404,0.06800758,86.70403044,False,
0.787500,circle_tracking,0.12466924,0.06951752,77.70084383,False,
0.795000,circle_tracking,0.11827440,0.07105316,71.24418264,False,
0.802500,circle_tracking,0.11191864,0.07259703,66.42219364,False,
0.810000,circle_tracking,0.10565752,0.07413444,62.45418591,False,
0.817500,circle_tracking,0.09953508,0.07565321,58.74276113,False,
0.825000,circle_tracking,0.09358559,0.07714326,54.87547250,False,
0.832500,circle_tracking,0.08783507,0.07859641,50.60037747,False,
0.840000,circle_tracking,0.08230259,0.08000607,45.80242152,False,
0.847500,circle_tracking,0.07700144,0.08136702,40.50216737,False,
0.855000,circle_tracking,0.07194002,0.08267515,34.90356879,False,
0.862500,circle_tracking,0.06712274,0.08392732,29.54398962,False,
0.870000,circle_tracking,0.06255064,0.08512113,25.60722943,False,
0.877500,circle_tracking,0.05822207,0.08625479,25.05730826,False,
0.885000,circle_tracking,0.05413315,0.08732695,29.31641579,False,
0.885000,circle_tracking,0.05027827,0.08833660,37.81552231,False,
0.892500,circle_tracking,0.04665687,0.08927882,50.69181462,False,
0.900000,circle_tracking,0.04326418,0.09014986,61.74018093,False,
0.907500,circle_tracking,0.04009372,0.09094710,70.84093124,False,
0.915000,circle_tracking,0.03713835,0.09166887,78.09660543,False,
0.922500,circle_tracking,0.03439062,0.09231436,83.65854218,False,
0.930000,circle_tracking,0.03184302,0.09288355,87.68324473,False,
0.937500,circle_tracking,0.02948829,0.09337708,90.31955509,False,
0.945000,circle_tracking,0.02731956,0.09379617,91.70503346,False,
0.952500,circle_tracking,0.02533055,0.09414260,91.96548862,False,
0.960000,circle_tracking,0.02351563,0.09441855,91.21564880,False,
0.967500,circle_tracking,0.02186980,0.09462663,89.56022477,False,
0.975000,circle_tracking,0.02038863,0.09476976,87.09506929,False,
0.982500,circle_tracking,0.01906807,0.09485115,83.90831649,False,
0.990000,circle_tracking,0.01790412,0.09487422,80.08146343,False,
0.997500,circle_tracking,0.01689245,0.09484261,75.69039625,False,
1.005000,circle_tracking,0.01602793,0.09476008,70.80639014,False,
1.012500,circle_tracking,0.01530416,0.09463052,65.49714190,False,
1.020000,circle_tracking,0.01471313,0.09445790,59.82794182,False,
1.027500,circle_tracking,0.01424493,0.09424622,53.86318567,False,
1.035000,circle_tracking,0.01388786,0.09399953,47.66863539,False,
1.042500,circle_tracking,0.01362863,0.09372186,41.31532867,False,
1.050000,circle_tracking,0.01345290,0.09341722,34.88730967,False,
1.057500,circle_tracking,0.01334586,0.09308955,28.49896366,False,
1.065000,circle_tracking,0.01329281,0.09274277,22.33897967,False,
1.072500,circle_tracking,0.01327970,0.09238066,16.79387994,False,
1.080000,circle_tracking,0.01329351,0.09200695,12.77389525,False,
1.087500,circle_tracking,0.01332246,0.09162524,11.91915760,False,
1.095000,circle_tracking,0.01335620,0.09123898,14.70005141,False,
1.102500,circle_tracking,0.01338572,0.09085152,19.50628376,False,
1.110000,circle_tracking,0.01340338,0.09046603,25.07057987,False,
1.117500,circle_tracking,0.01340277,0.09008553,30.84852861,False,
1.125000,circle_tracking,0.01337862,0.08971289,36.59992538,False,
1.132500,circle_tracking,0.01332666,0.08935078,42.19722762,False,
1.140000,circle_tracking,0.01324353,0.08900169,47.55881404,False,
1.147500,circle_tracking,0.01312669,0.08866794,52.62411180,False,
1.155000,circle_tracking,0.01297429,0.08835161,57.34325175,False,
1.162500,circle_tracking,0.01278517,0.08805463,61.67231115,False,
1.170000,circle_tracking,0.01255872,0.08777866,65.57093365,False,
1.177500,circle_tracking,0.01229487,0.08752520,69.00105369,False,
1.185000,circle_tracking,0.01199405,0.08729548,71.92617462,False,
1.192500,circle_tracking,0.01165715,0.08709053,74.31094452,False,
1.200000,circle_tracking,0.01128550,0.08691113,76.12090407,False,
1.207500,circle_tracking,0.01088082,0.08675781,77.32234318,False,
1.215000,circle_tracking,0.01044526,0.08663087,77.88223599,False,
1.222500,circle_tracking,0.00998134,0.08653033,77.76824404,False,
1.230000,circle_tracking,0.00949197,0.08645595,76.94879326,False,
1.237500,circle_tracking,0.00898044,0.08640721,75.39324872,False,
1.245000,circle_tracking,0.00845042,0.08638329,73.07223858,False,
1.252500,circle_tracking,0.00790595,0.08638309,69.95822957,False,
1.260000,circle_tracking,0.00735148,0.08640518,66.02656026,False,
1.267500,circle_tracking,0.00679181,0.08644781,61.25736960,False,
1.275000,circle_tracking,0.00623218,0.08650891,55.63941905,False,
