time,phase,ee_error,manipulability,torque_norm,collision,avg_step_s
0.000000,pick_place,0.00000000,0.14342848,26.48031850,False,0.00562952
0.013333,pick_place,0.00041807,0.14339682,75.08924996,False,
0.026667,pick_place,0.00132453,0.14330543,123.38367818,False,
0.040000,pick_place,0.00269655,0.14312771,165.72312278,False,
0.053333,pick_place,0.00434598,0.14284942,185.35944803,False,
0.066667,pick_place,0.00595801,0.14246555,186.69770821,False,
0.080000,pick_place,0.00725671,0.14196678,187.96976786,False,
0.093333,pick_place,0.00800397,0.14133969,189.12025763,False,
0.106667,pick_place,0.00800002,0.14056724,190.11179354,False,
0.120000,pick_place,0.00709059,0.13962926,190.92090459,False,
0.133333,pick_place,0.00521000,0.13850317,191.53487999,False,
0.146667,pick_place,0.00281686,0.13716477,191.94934522,False,
0.160000,pick_place,0.00414275,0.13558926,192.16640620,False,
0.173333,pick_place,0.00958778,0.13375238,192.19323133,False,
0.186667,pick_place,0.01680731,0.13163174,192.04096933,False,
0.200000,pick_place,0.02553301,0.12920821,191.72392313,False,
0.213333,pick_place,0.03570567,0.12646752,191.25891736,False,
0.226667,pick_place,0.04727815,0.12340177,190.66481003,False,
0.240000,pick_place,0.06018913,0.12001094,189.96210777,False,
0.253333,pick_place,0.07435698,0.11630416,189.17265055,False,
0.266667,pick_place,0.08967795,0.11230062,188.31933565,False,
0.280000,pick_place,0.10602557,0.10802985,187.42585365,False,
0.293333,pick_place,0.12325083,0.10353125,186.51641119,False,
0.306667,pick_place,0.14118271,0.09885263,185.61541801,False,
0.320000,pick_place,0.15962915,0.09404775,184.74711921,False,
0.333333,pick_place,0.17837842,0.08917309,183.93515904,False,
0.346667,pick_place,0.19720087,0.08428465,183.20207054,False,
0.360000,pick_place,0.21585098,0.07943613,182.56869584,False,
0.373333,pick_place,0.23406961,0.07468115,182.05355434,False,
0.386667,pick_place,0.25158646,0.07008275,181.67218998,False,
0.400000,pick_place,0.26812243,0.06573475,181.43654095,False,
0.413333,pick_place,0.28339190,0.06179805,181.35438416,False,
0.426667,pick_place,0.29710469,0.05855064,181.42890905,False,
0.440000,pick_place,0.30896765,0.05643325,181.65846917,False,
0.453333,pick_place,0.31868568,0.05604188,182.03654451,False,
0.466667,pick_place,0.32596225,0.05800019,182.55192419,False,
0.480000,pick_place,0.33049937,0.06272071,183.18909017,False,
0.493333,pick_place,0.33199703,0.07021786,183.92875419,False,
0.506667,pick_place,0.33015247,0.08011775,184.74847505,False,
0.520000,pick_place,0.32465923,0.09179468,185.62326974,False,
0.533333,pick_place,0.31524481,0.10448073,182.07908865,False,
0.546667,pick_place,0.30302240,0.11704299,52.52094423,False,
0.560000,pick_place,0.28888251,0.12848830,140.82921312,False,
0.573333,pick_place,0.27306801,0.13815502,189.11480976,False,
0.586667,pick_place,0.25543169,0.14564034,189.82130683,False,
0.600000,pick_place,0.23585973,0.15069441,190.38306402,False,
0.613333,pick_place,0.21427437,0.15320894,190.76692752,False,
0.626667,pick_place,0.19063737,0.15320402,190.94510095,False,
0.640000,pick_place,0.16495497,0.15081204,190.89703734,False,
0.653333,pick_place,0.13728620,0.14625861,190.61103508,False,
0.666667,pick_place,0.10776127,0.13984135,190.08555275,False,
0.680000,pick_place,0.07664151,0.13190741,189.33027307,False,
0.693333,pick_place,0.04464094,0.12283112,188.36695915,False,
0.706667,pick_place,0.01734533,0.11299280,187.23015516,False,
