time,phase,ee_error,manipulability,torque_norm,collision,avg_step_s
0.000000,singularity_stress,0.00000000,0.14342848,26.48031850,False,0.00520763
0.013333,singularity_stress,0.00008461,0.14343693,30.06098042,False,
0.026667,singularity_stress,0.00026552,0.14346138,33.94364945,False,
0.040000,singularity_stress,0.00053628,0.14350835,37.72901175,False,
0.053333,singularity_stress,0.00088942,0.14358315,41.22420298,False,
0.066667,singularity_stress,0.00131656,0.14368972,44.34051304,False,
0.080000,singularity_stress,0.00180850,0.14383047,47.04155891,False,
0.093333,singularity_stress,0.00235532,0.14400609,49.31793288,False,
0.106667,singularity_stress,0.00294655,0.14421552,51.17450140,False,
0.120000,singularity_stress,0.00357125,0.14445586,52.62379385,False,
0.133333,singularity_stress,0.00421821,0.14472241,53.68243344,False,
0.146667,singularity_stress,0.00487611,0.14500877,54.36915843,False,
0.160000,singularity_stress,0.00553364,0.14530701,54.70371492,False,
0.173333,singularity_stress,0.00617972,0.14560794,54.70625160,False,
0.186667,singularity_stress,0.00680366,0.14590146,54.39701964,False,
0.200000,singularity_stress,0.00739532,0.14617701,53.79627028,False,
0.213333,singularity_stress,0.00794528,0.14642404,52.92429045,False,
0.226667,singularity_stress,0.00844501,0.14663261,51.80154497,False,
0.240000,singularity_stress,0.00888701,0.14679397,50.44890958,False,
0.253333,singularity_stress,0.00926493,0.14690114,48.88799086,False,
0.266667,singularity_stress,0.00957369,0.14694951,47.14153736,False,
0.280000,singularity_stress,0.00980952,0.14693723,45.23395361,False,
0.293333,singularity_stress,0.00997006,0.14686557,43.19193545,False,
0.306667,singularity_stress,0.01005431,0.14673907,41.04525062,False,
0.320000,singularity_stress,0.01006265,0.14656547,38.82768880,False,
0.333333,singularity_stress,0.00999673,0.14635538,36.57819395,False,
0.346667,singularity_stress,0.00985938,0.14612173,34.34214984,False,
0.360000,singularity_stress,0.00965446,0.14587907,32.17268744,False,
0.373333,singularity_stress,0.00938670,0.14564259,30.13166908,False,
0.386667,singularity_stress,0.00906152,0.14542712,28.28963118,False,
0.400000,singularity_stress,0.00868479,0.14524617,26.72347092,False,
0.413333,singularity_stress,0.00826262,0.14511098,25.51035620,False,
0.426667,singularity_stress,0.00780120,0.14502979,24.71699802,False,
0.440000,singularity_stress,0.00730656,0.14500741,24.38585978,False,
0.453333,singularity_stress,0.00678443,0.14504507,24.52334880,False,
0.466667,singularity_stress,0.00624010,0.14514051,25.09618381,False,
0.480000,singularity_stress,0.00567834,0.14528845,26.03822495,False,
0.493333,singularity_stress,0.00510337,0.14548119,27.26390727,False,
0.506667,singularity_stress,0.00451889,0.14570939,28.68183114,False,
0.520000,singularity_stress,0.00392813,0.14596284,30.20429996,False,
0.533333,singularity_stress,0.00333404,0.14623122,31.75213137,False,
0.546667,singularity_stress,0.00273963,0.14650478,33.25604934,False,
0.560000,singularity_stress,0.00214855,0.14677485,34.65624545,False,
0.573333,singularity_stress,0.00156697,0.14703413,35.90123992,False,
0.586667,singularity_stress,0.00101065,0.14727693,36.94666393,False,
0.600000,singularity_stress,0.00055115,0.14749916,37.75424653,False,
0.613333,singularity_stress,0.00053078,0.14769824,38.29111950,False,
0.626667,singularity_stress,0.00096058,0.14787293,38.52949089,False,
0.640000,singularity_stress,0.00147660,0.14802309,38.44674382,False,
0.653333,singularity_stress,0.00199812,0.14814942,38.02606729,False,
0.666667,singularity_stress,0.00250591,0.14825324,37.25782696,False,
0.680000,singularity_stress,0.00299061,0.14833630,36.14206060,False,
0.693333,singularity_stress,0.00344509,0.14840053,34.69278834,False,
0.706667,singularity_stress,0.00386274,0.14844804,32.94535354,False,
0.720000,singularity_stress,0.00423692,0.14848099,30.96884184,False,
0.733333,singularity_stress,0.00456084,0.14850157,28.88660963,False,
0.746667,singularity_stress,0.00482744,0.14851208,26.90761140,False,
0.760000,singularity_stress,0.00502942,0.14851495,25.36361825,False,
0.773333,singularity_stress,0.00515922,0.14851280,24.71989568,False,
0.786667,singularity_stress,0.00520901,0.14850854,25.48769918,False,
0.786667,singularity_stress,0.00517070,0.14850537,28.02091467,False,
0.800000,singularity_stress,0.00509283,0.14850304,27.66257409,False,
0.813333,singularity_stress,0.00498677,0.14850129,27.39318627,False,
0.826667,singularity_stress,0.00485425,0.14849988,27.19280479,False,
0.840000,singularity_stress,0.00469737,0.14849855,27.04560709,False,
0.853333,singularity_stress,0.00451850,0.14849709,26.93908548,False,
0.866667,singularity_stress,0.00432015,0.14849527,26.86338875,False,
0.880000,singularity_stress,0.00410494,0.14849292,26.81079025,False,
0.893333,singularity_stress,0.00387550,0.14848987,26.77526010,False,
0.906667,singularity_stress,0.00363444,0.14848598,26.75212253,False,
0.920000,singularity_stress,0.00338431,0.14848114,26.73778168,False,
0.933333,singularity_stress,0.00312757,0.14847526,26.72950236,False,
0.946667,singularity_stress,0.00286657,0.14846827,26.72523460,False,
0.960000,singularity_stress,0.00260354,0.14846013,26.72347287,False,
0.973333,singularity_stress,0.00234055,0.14845083,26.72314306,False,
0.986667,singularity_stress,0.00207953,0.14844037,26.72351128,False,
1.000000,singularity_stress,0.00182228,0.14842876,26.72411020,False,
1.013333,singularity_stress,0.00157043,0.14841605,26.72467908,False,
1.026667,singularity_stress,0.00132546,0.14840229,26.72511505,False,
1.040000,singularity_stress,0.00108870,0.14838755,26.72543306,False,
1.053333,singularity_stress,0.00086132,0.14837190,26.72573310,False,
